radionuclide,Aerosols type,Monitoring method,Period (d),m(T/2)
Co-57,Type M,Lung,360,
Co-57,Type M,Whole body,360,
Co-57,Type M,Urine,360,
Co-57,Type M,Feces,360,
Co-57,Type M,Lung,180,1.7e-2
Co-57,Type M,Whole body,180,2.7e-2
Co-57,Type M,Urine,180,9.8e-5
Co-57,Type M,Feces,180,6.1e-5
Co-57,Type M,Lung,120,2.4e-2
Co-57,Type M,Whole body,120,3.5e-2
Co-57,Type M,Urine,120,1.4e-4
Co-57,Type M,Feces,120,1.2e-4
Co-57,Type M,Lung,90,2.9e-2
Co-57,Type M,Whole body,90,4.1e-2
Co-57,Type M,Urine,90,1.8e-4
Co-57,Type M,Feces,90,1.8e-4
Co-57,Type M,Lung,60,3.6e-2
Co-57,Type M,Whole body,60,5.0e-2
Co-57,Type M,Urine,60,2.7e-4
Co-57,Type M,Feces,60,2.8e-4
Co-57,Type M,Lung,30,4.5e-2
Co-57,Type M,Whole body,30,6.3e-2
Co-57,Type M,Urine,30,6.4e-4
Co-57,Type M,Feces,30,4.8e-4
Co-57,Type M,Lung,14,5.1e-2
Co-57,Type M,Whole body,14,7.7e-2
Co-57,Type M,Urine,14,1.3e-3
Co-57,Type M,Feces,14,2.3e-3
Co-57,Type M,Lung,7,5.4e-2
Co-57,Type M,Whole body,7,1.1e-1
Co-57,Type M,Urine,7,2.2e-3
Co-57,Type M,Feces,7,3.0e-2
Co-57,Type S,Lung,360,2.0e-2
Co-57,Type S,Whole body,360,2.2e-2
Co-57,Type S,Urine,360,5.3e-6
Co-57,Type S,Feces,360,2.3e-5
Co-57,Type S,Lung,180,3.0e-2
Co-57,Type S,Whole body,180,3.3e-2
Co-57,Type S,Urine,180,1.3e-5
Co-57,Type S,Feces,180,8.3e-5
Co-57,Type S,Lung,120,3.6e-2
Co-57,Type S,Whole body,120,3.9e-2
Co-57,Type S,Urine,120,2.0e-5
Co-57,Type S,Feces,120,1.6e-4
Co-57,Type S,Lung,90,4.0e-2
Co-57,Type S,Whole body,90,4.4e-2
Co-57,Type S,Urine,90,2.8e-5
Co-57,Type S,Feces,90,2.2e-4
Co-57,Type S,Lung,60,4.6e-2
Co-57,Type S,Whole body,60,5.0e-2
Co-57,Type S,Urine,60,5.3e-5
Co-57,Type S,Feces,60,3.2e-4
Co-57,Type S,Lung,30,5.3e-2
Co-57,Type S,Whole body,30,5.9e-2
Co-57,Type S,Urine,30,1.7e-4
Co-57,Type S,Feces,30,4.8e-4
Co-57,Type S,Lung,14,5.8e-2
Co-57,Type S,Whole body,14,6.8e-2
Co-57,Type S,Urine,14,3.7e-4
Co-57,Type S,Feces,14,2.4e-3
Co-57,Type S,Lung,7,6.1e-2
Co-57,Type S,Whole body,7,9.7e-2
Co-57,Type S,Urine,7,6.7e-4
Co-57,Type S,Feces,7,3.3e-2
