radionuclide,Route of intake,Aerosols type,Monitoring method,Time (d),m(t),fA
Co-57,Inhalation,Type M,Whole body,1,4.8e-1,
Co-57,Inhalation,Type M,Lung,1,5.7e-2,
Co-57,Inhalation,Type M,Urine,1,2.0e-2,
Co-57,Inhalation,Type M,Feces,1,1.0e-1,
Co-57,Inhalation,Type M,Whole body,2,2.6e-1,
Co-57,Inhalation,Type M,Lung,2,5.6e-2,
Co-57,Inhalation,Type M,Urine,2,9.1e-3,
Co-57,Inhalation,Type M,Feces,2,1.4e-1,
Co-57,Inhalation,Type M,Whole body,3,1.5e-1,
Co-57,Inhalation,Type M,Lung,3,5.5e-2,
Co-57,Inhalation,Type M,Urine,3,3.7e-3,
Co-57,Inhalation,Type M,Feces,3,7.2e-2,
Co-57,Inhalation,Type M,Whole body,4,1.1e-1,
Co-57,Inhalation,Type M,Lung,4,5.4e-2,
Co-57,Inhalation,Type M,Urine,4,2.2e-3,
Co-57,Inhalation,Type M,Feces,4,3.0e-2,
Co-57,Inhalation,Type M,Whole body,5,9.0e-2,
Co-57,Inhalation,Type M,Lung,5,5.3e-2,
Co-57,Inhalation,Type M,Urine,5,1.7e-3,
Co-57,Inhalation,Type M,Feces,5,1.2e-2,
Co-57,Inhalation,Type M,Whole body,6,8.2e-2,
Co-57,Inhalation,Type M,Lung,6,5.2e-2,
Co-57,Inhalation,Type M,Urine,6,1.4e-3,
Co-57,Inhalation,Type M,Feces,6,5.0e-3,
Co-57,Inhalation,Type M,Whole body,7,7.7e-2,
Co-57,Inhalation,Type M,Lung,7,5.1e-2,
Co-57,Inhalation,Type M,Urine,7,1.3e-3,
Co-57,Inhalation,Type M,Feces,7,2.3e-3,
Co-57,Inhalation,Type M,Whole body,8,7.4e-2,
Co-57,Inhalation,Type M,Lung,8,5.0e-2,
Co-57,Inhalation,Type M,Urine,8,1.2e-3,
Co-57,Inhalation,Type M,Feces,8,1.3e-3,
Co-57,Inhalation,Type M,Whole body,9,7.2e-2,
Co-57,Inhalation,Type M,Lung,9,4.9e-2,
Co-57,Inhalation,Type M,Urine,9,1.1e-3,
Co-57,Inhalation,Type M,Feces,9,8.6e-4,
Co-57,Inhalation,Type M,Whole body,10,7.0e-2,
Co-57,Inhalation,Type M,Lung,10,4.8e-2,
Co-57,Inhalation,Type M,Urine,10,9.7e-4,
Co-57,Inhalation,Type M,Feces,10,6.9e-4,
Co-57,Inhalation,Type M,Whole body,100,4.5e-2,
Co-57,Inhalation,Type M,Lung,100,2.5e-2,
Co-57,Inhalation,Type M,Urine,100,1.0e-4,
Co-57,Inhalation,Type M,Feces,100,8.5e-5,
Co-57,Inhalation,Type S,Whole body,1,4.9e-1,
Co-57,Inhalation,Type S,Lung,1,6.4e-2,
Co-57,Inhalation,Type S,Urine,1,5.7e-3,
Co-57,Inhalation,Type S,Feces,1,1.1e-1,
Co-57,Inhalation,Type S,Whole body,2,2.5e-1,
Co-57,Inhalation,Type S,Lung,2,6.2e-2,
Co-57,Inhalation,Type S,Urine,2,3.1e-3,
Co-57,Inhalation,Type S,Feces,2,1.5e-1,
Co-57,Inhalation,Type S,Whole body,3,1.4e-1,
Co-57,Inhalation,Type S,Lung,3,6.1e-2,
