radionuclide,Route of intake,Aerosols type,Monitoring method,Time (d),m(t),fA
Cs-134,Inhalation,Type F,Whole body,1,6.0e-1,
Cs-134,Inhalation,Type F,Urine,1,7.9e-3,
Cs-134,Inhalation,Type F,Whole body,2,5.0e-1,
Cs-134,Inhalation,Type F,Urine,2,1.1e-2,
Cs-134,Inhalation,Type F,Whole body,3,4.6e-1,
Cs-134,Inhalation,Type F,Urine,3,8.8e-3,
Cs-134,Inhalation,Type F,Whole body,4,4.4e-1,
Cs-134,Inhalation,Type F,Urine,4,6.8e-3,
Cs-134,Inhalation,Type F,Whole body,5,4.3e-1,
Cs-134,Inhalation,Type F,Urine,5,5.4e-3,
Cs-134,Inhalation,Type F,Whole body,6,4.2e-1,
Cs-134,Inhalation,Type F,Urine,6,4.4e-3,
Cs-134,Inhalation,Type F,Whole body,7,4.2e-1,
Cs-134,Inhalation,Type F,Urine,7,3.7e-3,
Cs-134,Inhalation,Type F,Whole body,8,4.1e-1,
Cs-134,Inhalation,Type F,Urine,8,3.2e-3,
Cs-134,Inhalation,Type F,Whole body,9,4.1e-1,
Cs-134,Inhalation,Type F,Urine,9,2.9e-3,
Cs-134,Inhalation,Type F,Whole body,10,4.1e-1,
Cs-134,Inhalation,Type F,Urine,10,2.6e-3,
Cs-134,Inhalation,Type F,Whole body,100,3.0e-1,
Cs-134,Inhalation,Type F,Urine,100,1.0e-3,
Cs-134,Ingestion,,Whole body,1,9.8e-1,
Cs-134,Ingestion,,Urine,1,1.6e-2,
Cs-134,Ingestion,,Whole body,2,9.5e-1,
Cs-134,Ingestion,,Urine,2,2.3e-2,
Cs-134,Ingestion,,Whole body,3,9.2e-1,
Cs-134,Ingestion,,Urine,3,1.8e-2,
Cs-134,Ingestion,,Whole body,4,9.0e-1,
Cs-134,Ingestion,,Urine,4,1.4e-2,
Cs-134,Ingestion,,Whole body,5,8.9e-1,
Cs-134,Ingestion,,Urine,5,1.1e-2,
Cs-134,Ingestion,,Whole body,6,8.7e-1,
Cs-134,Ingestion,,Urine,6,9.2e-3,
Cs-134,Ingestion,,Whole body,7,8.6e-1,
Cs-134,Ingestion,,Urine,7,7.7e-3,
Cs-134,Ingestion,,Whole body,8,8.5e-1,
Cs-134,Ingestion,,Urine,8,6.7e-3,
Cs-134,Ingestion,,Whole body,9,8.5e-1,
Cs-134,Ingestion,,Urine,9,6.0e-3,
Cs-134,Ingestion,,Whole body,10,8.4e-1,
Cs-134,Ingestion,,Urine,10,5.4e-3,
Cs-134,Ingestion,,Whole body,100,7.8e-1,
Cs-134,Ingestion,,Urine,100,2.8e-3,
Cs-134,Injection,,Whole body,1,9.8e-1,
Cs-134,Injection,,Urine,1,1.7e-2,
Cs-134,Injection,,Whole body,2,9.5e-1,
Cs-134,Injection,,Urine,2,2.3e-2,
Cs-134,Injection,,Whole body,3,9.3e-1,
Cs-134,Injection,,Urine,3,1.8e-2,
Cs-134,Injection,,Whole body,4,9.1e-1,
Cs-134,Injection,,Urine,4,1.4e-2,
Cs-134,Injection,,Whole body,5,9.0e-1,
Cs-134,Injection,,Urine,5,1.1e-2,
Cs-134,Injection,,Whole body,6,8.8e-1,
Cs-134,Injection,,Urine,6,9.2e-3,
Cs-134,Injection,,Whole body,7,8.7e-1,
Cs-134,Injection,,Urine,7,7.8e-3,
Cs-134,Injection,,Whole body,8,8.6e-1,
Cs-134,Injection,,Urine,8,6.7e-3,
Cs-134,Injection,,Whole body,9,8.5e-1,
Cs-134,Injection,,Urine,9,6.0e-3,
Cs-134,Injection,,Whole body,10,8.5e-1,
Cs-134,Injection,,Urine,10,5.5e-3,
Cs-134,Injection,,Whole body,100,7.5e-1,
Cs-134,Injection,,Urine,100,3.5e-3,
