radionuclide,Route of intake,Aerosols type,Monitoring method,Time (d),m(t),fA
H-3,Inhalation,HTO,Urine,1,2.3e-2,
H-3,Inhalation,HTO,Urine,2,2.1e-2,
H-3,Inhalation,HTO,Urine,3,2.0e-2,
H-3,Inhalation,HTO,Urine,4,1.9e-2,
H-3,Inhalation,HTO,Urine,5,1.7e-2,
H-3,Inhalation,HTO,Urine,6,1.6e-2,
H-3,Inhalation,HTO,Urine,7,1.5e-2,
H-3,Inhalation,HTO,Urine,8,1.4e-2,
H-3,Inhalation,HTO,Urine,9,1.3e-2,
H-3,Inhalation,HTO,Urine,10,1.2e-2,
H-3,Inhalation,HTO,Urine,70,1.0e-3,
H-3,Ingestion,HTO,Urine,1,2.3e-2,
H-3,Ingestion,HTO,Urine,2,2.1e-2,
H-3,Ingestion,HTO,Urine,3,2.0e-2,
H-3,Ingestion,HTO,Urine,4,1.9e-2,
H-3,Ingestion,HTO,Urine,5,1.7e-2,
H-3,Ingestion,HTO,Urine,6,1.6e-2,
H-3,Ingestion,HTO,Urine,7,1.5e-2,
H-3,Ingestion,HTO,Urine,8,1.4e-2,
H-3,Ingestion,HTO,Urine,9,1.3e-2,
H-3,Ingestion,HTO,Urine,10,1.2e-2,
H-3,Ingestion,HTO,Urine,70,1.0e-3,
H-3,Injection,HTO,Urine,1,2.3e-2,
H-3,Injection,HTO,Urine,2,2.1e-2,
H-3,Injection,HTO,Urine,3,2.0e-2,
H-3,Injection,HTO,Urine,4,1.9e-2,
H-3,Injection,HTO,Urine,5,1.7e-2,
H-3,Injection,HTO,Urine,6,1.6e-2,
H-3,Injection,HTO,Urine,7,1.5e-2,
H-3,Injection,HTO,Urine,8,1.4e-2,
H-3,Injection,HTO,Urine,9,1.3e-2,
H-3,Injection,HTO,Urine,10,1.2e-2,
H-3,Injection,HTO,Urine,70,1.0e-3,
H-3,Ingestion,OBT,Urine,1,1.3e-2,
H-3,Ingestion,OBT,Urine,2,2.3e-2,
H-3,Ingestion,OBT,Urine,3,2.2e-2,
H-3,Ingestion,OBT,Urine,4,2.0e-2,
H-3,Ingestion,OBT,Urine,5,1.9e-2,
H-3,Ingestion,OBT,Urine,6,1.8e-2,
H-3,Ingestion,OBT,Urine,7,1.8e-2,
H-3,Ingestion,OBT,Urine,8,1.7e-2,
H-3,Ingestion,OBT,Urine,9,1.7e-2,
H-3,Ingestion,OBT,Urine,10,1.6e-2,
H-3,Ingestion,OBT,Urine,70,5.0e-3,
