radionuclide,Route of intake,Aerosols type,Monitoring method,Time (d),m(t),fA
I-125,Inhalation,Type F,Thyroid,1,1.3e-1,
I-125,Inhalation,Type F,Urine,1,3.0e-1,
I-125,Inhalation,Type F,Thyroid,2,1.4e-1,
I-125,Inhalation,Type F,Urine,2,2.7e-2,
I-125,Inhalation,Type F,Thyroid,3,1.4e-1,
I-125,Inhalation,Type F,Urine,3,1.7e-3,
I-125,Inhalation,Type F,Thyroid,4,1.3e-1,
I-125,Inhalation,Type F,Urine,4,2.0e-4,
I-125,Inhalation,Type F,Thyroid,5,1.3e-1,
I-125,Inhalation,Type F,Urine,5,1.3e-4,
I-125,Inhalation,Type F,Thyroid,6,1.3e-1,
I-125,Inhalation,Type F,Urine,6,1.5e-4,
I-125,Inhalation,Type F,Thyroid,7,1.3e-1,
I-125,Inhalation,Type F,Urine,7,1.7e-4,
I-125,Inhalation,Type F,Thyroid,8,1.2e-1,
I-125,Inhalation,Type F,Urine,8,2.0e-4,
I-125,Inhalation,Type F,Thyroid,9,1.2e-1,
I-125,Inhalation,Type F,Urine,9,2.2e-4,
I-125,Inhalation,Type F,Thyroid,10,1.2e-1,
I-125,Inhalation,Type F,Urine,10,2.4e-4,
I-125,Inhalation,Type F,Thyroid,50,1.0e-1,
I-125,Inhalation,Type F,Urine,50,5.5e-4,
I-125,Inhalation,Gaseous,Thyroid,1,2.5e-1,
I-125,Inhalation,Gaseous,Urine,1,5.7e-1,
I-125,Inhalation,Gaseous,Thyroid,2,2.6e-1,
I-125,Inhalation,Gaseous,Urine,2,4.9e-2,
I-125,Inhalation,Gaseous,Thyroid,3,2.5e-1,
I-125,Inhalation,Gaseous,Urine,3,3.2e-3,
I-125,Inhalation,Gaseous,Thyroid,4,2.5e-1,
I-125,Inhalation,Gaseous,Urine,4,3.6e-4,
I-125,Inhalation,Gaseous,Thyroid,5,2.4e-1,
I-125,Inhalation,Gaseous,Urine,5,2.4e-4,
I-125,Inhalation,Gaseous,Thyroid,6,2.4e-1,
I-125,Inhalation,Gaseous,Urine,6,2.8e-4,
I-125,Inhalation,Gaseous,Thyroid,7,2.4e-1,
I-125,Inhalation,Gaseous,Urine,7,3.3e-4,
I-125,Inhalation,Gaseous,Thyroid,8,2.3e-1,
I-125,Inhalation,Gaseous,Urine,8,3.7e-4,
I-125,Inhalation,Gaseous,Thyroid,9,2.3e-1,
I-125,Inhalation,Gaseous,Urine,9,4.1e-4,
I-125,Inhalation,Gaseous,Thyroid,10,2.2e-1,
I-125,Inhalation,Gaseous,Urine,10,4.4e-4,
I-125,Inhalation,Gaseous,Thyroid,50,1.2e-1,
I-125,Inhalation,Gaseous,Urine,50,9.0e-4,
I-125,Ingestion,,Thyroid,1,2.7e-1,
I-125,Ingestion,,Urine,1,6.2e-1,
I-125,Ingestion,,Thyroid,2,2.8e-1,
I-125,Ingestion,,Urine,2,5.9e-2,
I-125,Ingestion,,Thyroid,3,2.8e-1,
I-125,Ingestion,,Urine,3,3.7e-3,
I-125,Ingestion,,Thyroid,4,2.8e-1,
I-125,Ingestion,,Urine,4,4.2e-4,
I-125,Ingestion,,Thyroid,5,2.7e-1,
I-125,Ingestion,,Urine,5,2.7e-4,
I-125,Ingestion,,Thyroid,6,2.6e-1,
I-125,Ingestion,,Urine,6,3.1e-4,
I-125,Ingestion,,Thyroid,7,2.6e-1,
I-125,Ingestion,,Urine,7,3.6e-4,
I-125,Ingestion,,Thyroid,8,2.5e-1,
I-125,Ingestion,,Urine,8,4.1e-4,
I-125,Ingestion,,Thyroid,9,2.5e-1,
I-125,Ingestion,,Urine,9,4.5e-4,
I-125,Ingestion,,Thyroid,10,2.4e-1,
I-125,Ingestion,,Urine,10,4.9e-4,
I-125,Ingestion,,Thyroid,50,1.2e-1,
I-125,Ingestion,,Urine,50,9.5e-4,
I-125,Injection,,Thyroid,1,2.8e-1,
I-125,Injection,,Urine,1,6.4e-1,
I-125,Injection,,Thyroid,2,2.9e-1,
I-125,Injection,,Urine,2,5.2e-2,
I-125,Injection,,Thyroid,3,2.8e-1,
I-125,Injection,,Urine,3,3.3e-3,
I-125,Injection,,Thyroid,4,2.8e-1,
I-125,Injection,,Urine,4,4.0e-4,
I-125,Injection,,Thyroid,5,2.7e-1,
I-125,Injection,,Urine,5,2.7e-4,
I-125,Injection,,Thyroid,6,2.7e-1,
I-125,Injection,,Urine,6,3.2e-4,
I-125,Injection,,Thyroid,7,2.6e-1,
I-125,Injection,,Urine,7,3.7e-4,
I-125,Injection,,Thyroid,8,2.6e-1,
I-125,Injection,,Urine,8,4.1e-4,
I-125,Injection,,Thyroid,9,2.5e-1,
I-125,Injection,,Urine,9,4.5e-4,
I-125,Injection,,Thyroid,10,2.5e-1,
I-125,Injection,,Urine,10,4.9e-4,
I-125,Injection,,Thyroid,50,1.2e-1,
I-125,Injection,,Urine,50,9.5e-4,
