radionuclide,Aerosols type,Monitoring method,Period (d),m(T/2)
U-234,Type F,Urine,360,3.1e-5
U-234,Type F,Urine,180,1.2e-4
U-234,Type F,Urine,120,2.3e-4
U-234,Type F,Urine,90,3.5e-4
U-234,Type F,Urine,60,6.8e-4
U-234,Type F,Urine,30,1.8e-3
U-234,Type F,Urine,14,3.5e-3
U-234,Type F,Urine,7,4.6e-3
U-234,Type M,Urine,360,6.5e-5
U-234,Type M,Urine,180,1.2e-4
U-234,Type M,Urine,120,1.7e-4
U-234,Type M,Urine,90,2.0e-4
U-234,Type M,Urine,60,2.7e-4
U-234,Type M,Urine,30,4.3e-4
U-234,Type M,Urine,14,6.5e-4
U-234,Type M,Urine,7,7.9e-4
U-234,Type S,Urine,360,3.3e-6
U-234,Type S,Urine,180,4.3e-6
U-234,Type S,Urine,120,5.2e-6
U-234,Type S,Urine,90,6.0e-6
U-234,Type S,Urine,60,7.7e-6
U-234,Type S,Urine,30,1.2e-5
U-234,Type S,Urine,14,1.9e-5
U-234,Type S,Urine,7,2.4e-5
U-234,Type S,Feces,360,3.7e-5
U-234,Type S,Feces,180,1.1e-4
U-234,Type S,Feces,120,1.9e-4
U-234,Type S,Feces,90,2.5e-4
U-234,Type S,Feces,60,3.5e-4
U-234,Type S,Feces,30,4.9e-4
U-234,Type S,Feces,14,2.5e-3
U-234,Type S,Feces,7,3.5e-3
