计算序号,计算方法,口罩型号,化合物,气溶胶类型,核素,AMAD/粒径,e (Sv/Bq),活度贡献 (Bq/m³),剂量 (Sv)
1,国标单AMAD法,无防护,U3O8,Intermediate Type M/S,U_238,5.00,4.800e-06,1.1852e-01,5.4613e-06
1,国标单AMAD法,无防护,U3O8,Intermediate Type M/S,U_235,5.00,5.100e-06,2.0915e-02,1.0240e-06
1,国标单AMAD法,无防护,UO2,Intermediate Type M/S,U_238,5.00,4.800e-06,9.6969e-02,4.4683e-06
1,国标单AMAD法,无防护,UO2,Intermediate Type M/S,U_235,5.00,5.100e-06,1.7112e-02,8.3781e-07
2,多模态拟合法（单峰）,无防护,U3O8,Intermediate Type M/S,U_238,15.62,2.064e-06,2.7387e-01,5.4253e-06
2,多模态拟合法（单峰）,无防护,U3O8,Intermediate Type M/S,U_235,15.62,2.199e-06,4.8330e-02,1.0203e-06
2,多模态拟合法（单峰）,无防护,UO2,Intermediate Type M/S,U_238,15.62,2.064e-06,2.2407e-01,4.4389e-06
2,多模态拟合法（单峰）,无防护,UO2,Intermediate Type M/S,U_235,15.62,2.199e-06,3.9543e-02,8.3483e-07
3,多模态拟合法（双峰）,无防护,U3O8,Intermediate Type M/S,U_238,峰1:15.78 / 峰2:0.96,逐级,2.5047e-01,5.3810e-06
3,多模态拟合法（双峰）,无防护,U3O8,Intermediate Type M/S,U_235,峰1:15.78 / 峰2:0.96,逐级,4.4200e-02,1.0104e-06
3,多模态拟合法（双峰）,无防护,UO2,Intermediate Type M/S,U_238,峰1:15.78 / 峰2:0.96,逐级,2.0493e-01,4.4027e-06
3,多模态拟合法（双峰）,无防护,UO2,Intermediate Type M/S,U_235,峰1:15.78 / 峰2:0.96,逐级,3.6164e-02,8.2672e-07
4,正态概率图法,无防护,U3O8,Intermediate Type M/S,U_238,12.78,2.440e-06,1.7458e-01,4.0891e-06
4,正态概率图法,无防护,U3O8,Intermediate Type M/S,U_235,12.78,2.604e-06,3.0809e-02,7.7028e-07
4,正态概率图法,无防护,UO2,Intermediate Type M/S,U_238,12.78,2.440e-06,1.4284e-01,3.3456e-06
4,正态概率图法,无防护,UO2,Intermediate Type M/S,U_235,12.78,2.604e-06,2.5207e-02,6.3023e-07
5,逐级独立法,无防护,U3O8,Intermediate Type M/S,U_238,逐级,逐级,1.2908e+00,4.0015e-05
5,逐级独立法,无防护,U3O8,Intermediate Type M/S,U_235,逐级,逐级,2.2778e-01,7.4411e-06
5,逐级独立法,无防护,UO2,Intermediate Type M/S,U_238,逐级,逐级,1.0561e+00,3.2739e-05
5,逐级独立法,无防护,UO2,Intermediate Type M/S,U_235,逐级,逐级,1.8637e-01,6.0882e-06

── 各次计算汇总 ──
计算序号,计算方法,推荐方法,口罩型号,总防护因子,原始总浓度 (Bq/m³),校正后总浓度 (Bq/m³),总有效剂量 (Sv),呼吸速率 (m³/h),工作时长 (h),数据质量,非零级数
1,国标单AMAD法,国标单AMAD (5 μm),无防护,1.000000,2.7610e+00,2.7610e+00,1.1791e-05,1.20,8.0,?,?/9
2,多模态拟合法（单峰）,Bimodal (Recommended),无防护,1.000000,2.7610e+00,2.7610e+00,1.1719e-05,1.20,8.0,good,9/9
3,多模态拟合法（双峰）,Bimodal (Recommended),无防护,1.000000,2.7610e+00,2.7610e+00,1.1621e-05,1.20,8.0,good,9/9
4,正态概率图法,正态概率法 (R²=0.8098),无防护,1.000000,2.7610e+00,2.7610e+00,8.8352e-06,1.20,8.0,?,?/9
5,逐级独立法,逐级独立法,无防护,1.000000,2.7610e+00,2.7610e+00,8.6283e-05,1.20,8.0,?,?/9
