stage,d_um,compound,aerosol_type,nuclide,amad_used,e_sv_per_bq,conc_contrib,dose_sv,total_dose
A,32.63433774416144,U3O8,Intermediate Type M/S,U-238,5.00,4.8e-06,3.1262019230769225,1.2849740307692307e-05,0.00017021283705900524
A,32.63433774416144,U3O8,Intermediate Type M/S,U-235,5.00,5.1e-06,0.5516826923076922,2.4093263076923078e-06,0.00017021283705900524
A,32.63433774416144,UO2,Intermediate Type M/S,U-238,5.00,4.8e-06,0.5516826923076922,2.2676012307692306e-06,0.00017021283705900524
A,32.63433774416144,UO2,Intermediate Type M/S,U-235,5.00,5.1e-06,0.09735576923076922,4.251752307692308e-07,0.00017021283705900524
B,17.75499929597295,U3O8,Intermediate Type M/S,U-238,5.00,4.8e-06,2.9847540983606557,1.2268342221639344e-05,0.00017021283705900524
B,17.75499929597295,U3O8,Intermediate Type M/S,U-235,5.00,5.1e-06,0.5267213114754098,2.3003141665573775e-06,0.00017021283705900524
B,17.75499929597295,UO2,Intermediate Type M/S,U-238,5.00,4.8e-06,0.5267213114754098,2.16500156852459e-06,0.00017021283705900524
B,17.75499929597295,UO2,Intermediate Type M/S,U-235,5.00,5.1e-06,0.09295081967213113,4.0593779409836063e-07,0.00017021283705900524
C,12.043255373859678,U3O8,Intermediate Type M/S,U-238,5.00,4.8e-06,4.16826923076923,1.7132987076923078e-05,0.00017021283705900524
C,12.043255373859678,U3O8,Intermediate Type M/S,U-235,5.00,5.1e-06,0.735576923076923,3.212435076923077e-06,0.00017021283705900524
C,12.043255373859678,UO2,Intermediate Type M/S,U-238,5.00,4.8e-06,0.735576923076923,3.0234683076923074e-06,0.00017021283705900524
C,12.043255373859678,UO2,Intermediate Type M/S,U-235,5.00,5.1e-06,0.1298076923076923,5.669003076923077e-07,0.00017021283705900524
D,7.6681158050723255,U3O8,Intermediate Type M/S,U-238,5.00,4.8e-06,3.4907303370786518,1.4348074570786519e-05,0.00017021283705900524
D,7.6681158050723255,U3O8,Intermediate Type M/S,U-235,5.00,5.1e-06,0.6160112359550561,2.690263982022472e-06,0.00017021283705900524
D,7.6681158050723255,UO2,Intermediate Type M/S,U-238,5.00,4.8e-06,0.6160112359550561,2.5320131595505617e-06,0.00017021283705900524
D,7.6681158050723255,UO2,Intermediate Type M/S,U-235,5.00,5.1e-06,0.10870786516853932,4.747524674157304e-07,0.00017021283705900524
E,4.58257569495584,U3O8,Intermediate Type M/S,U-238,5.00,4.8e-06,7.1489473684210525,2.9384575730526318e-05,0.00017021283705900524
E,4.58257569495584,U3O8,Intermediate Type M/S,U-235,5.00,5.1e-06,1.261578947368421,5.509607949473684e-06,0.00017021283705900524
E,4.58257569495584,UO2,Intermediate Type M/S,U-238,5.00,4.8e-06,1.261578947368421,5.185513364210526e-06,0.00017021283705900524
E,4.58257569495584,UO2,Intermediate Type M/S,U-235,5.00,5.1e-06,0.2226315789473684,9.72283755789474e-07,0.00017021283705900524
F,2.3664319132398464,U3O8,Intermediate Type M/S,U-238,5.00,4.8e-06,7.375520833333334,3.0315868800000004e-05,0.00017021283705900524
F,2.3664319132398464,U3O8,Intermediate Type M/S,U-235,5.00,5.1e-06,1.3015625,5.6842254e-06,0.00017021283705900524
F,2.3664319132398464,UO2,Intermediate Type M/S,U-238,5.00,4.8e-06,1.3015625,5.3498592000000005e-06,0.00017021283705900524
F,2.3664319132398464,UO2,Intermediate Type M/S,U-235,5.00,5.1e-06,0.2296875,1.0030986000000002e-06,0.00017021283705900524
G,1.2000000000000002,U3O8,Intermediate Type M/S,U-238,5.00,4.8e-06,0.826778350515464,3.3983368181443307e-06,0.00017021283705900524
G,1.2000000000000002,U3O8,Intermediate Type M/S,U-235,5.00,5.1e-06,0.14590206185567012,6.371881534020621e-07,0.00017021283705900524
G,1.2000000000000002,UO2,Intermediate Type M/S,U-238,5.00,4.8e-06,0.14590206185567012,5.997064973195878e-07,0.00017021283705900524
G,1.2000000000000002,UO2,Intermediate Type M/S,U-235,5.00,5.1e-06,0.025747422680412375,1.1244496824742272e-07,0.00017021283705900524
H,0.6708203932499369,U3O8,Intermediate Type M/S,U-238,5.00,4.8e-06,0.2627272727272727,1.0798973672727274e-06,0.00017021283705900524
H,0.6708203932499369,U3O8,Intermediate Type M/S,U-235,5.00,5.1e-06,0.046363636363636364,2.024807563636364e-07,0.00017021283705900524
H,0.6708203932499369,UO2,Intermediate Type M/S,U-238,5.00,4.8e-06,0.04636363636363636,1.905701236363636e-07,0.00017021283705900524
H,0.6708203932499369,UO2,Intermediate Type M/S,U-235,5.00,5.1e-06,0.00818181818181818,3.573189818181818e-08,0.00017021283705900524
Filter,0.22360679774997896,U3O8,Intermediate Type M/S,U-238,5.00,4.8e-06,0.25287499999999996,1.0587341597770103e-06,0.00017021283705900524
Filter,0.22360679774997896,U3O8,Intermediate Type M/S,U-235,5.00,5.1e-06,0.044625,1.985126549581895e-07,0.00017021283705900524
Filter,0.22360679774997896,UO2,Intermediate Type M/S,U-238,5.00,4.8e-06,0.044625,1.8683543996064891e-07,0.00017021283705900524
Filter,0.22360679774997896,UO2,Intermediate Type M/S,U-235,5.00,5.1e-06,0.007875,3.503164499262167e-08,0.00017021283705900524
