Radionuclide	Pu-239
Route of Intake	Ingestion
Material	Insoluble forms: oxides, fA=1E-5
AMTD/AMAD, µm	-

Committed Effective Dose per Predicted Content in an Organ or Excreta Sample (Dose per Content Functions z(t)), Sv/Bq
Time, days	Whole Body	Urine (24-hour sample)	Faeces (24-hour sample)	Alimentary Tract*	Skeleton*	Liver*
0.041667	2.4E-9	-	-	2.4E-9	6.3E-2	4.4E-2
0.083333	2.4E-9	-	-	2.4E-9	2.1E-2	1.4E-2
0.125	2.4E-9	-	-	2.4E-9	1.2E-2	7.9E-3
0.25	2.4E-9	-	-	2.4E-9	5.5E-3	3.4E-3
0.375	2.5E-9	-	-	2.5E-9	3.9E-3	2.3E-3
0.5	2.5E-9	-	-	2.5E-9	3.1E-3	1.8E-3
0.625	2.6E-9	-	-	2.6E-9	2.6E-3	1.5E-3
0.75	2.7E-9	-	-	2.7E-9	2.3E-3	1.3E-3
0.875	2.9E-9	-	-	2.9E-9	2.1E-3	1.1E-3
1	3.1E-9	4.1E-2	1.1E-8	3.1E-9	2.0E-3	1.0E-3
1.125	3.4E-9	-	-	3.4E-9	1.8E-3	9.7E-4
1.25	3.7E-9	-	-	3.7E-9	1.7E-3	9.0E-4
1.375	4.1E-9	-	-	4.1E-9	1.6E-3	8.5E-4
1.5	4.6E-9	-	-	4.6E-9	1.6E-3	8.1E-4
1.625	5.2E-9	-	-	5.2E-9	1.5E-3	7.8E-4
1.75	5.9E-9	-	-	5.9E-9	1.5E-3	7.5E-4
1.875	6.7E-9	-	-	6.7E-9	1.4E-3	7.2E-4
2	7.7E-9	5.0E-2	5.1E-9	7.7E-9	1.4E-3	7.0E-4
2.25	1.0E-8	-	-	1.0E-8	1.3E-3	6.6E-4
2.5	1.4E-8	-	-	1.4E-8	1.3E-3	6.4E-4
2.75	2.0E-8	-	-	2.0E-8	1.2E-3	6.1E-4
3	2.8E-8	9.4E-2	1.1E-8	2.8E-8	1.2E-3	6.0E-4
3.25	4.0E-8	-	-	4.0E-8	1.1E-3	5.8E-4
3.5	5.7E-8	-	-	5.7E-8	1.1E-3	5.7E-4
3.75	8.3E-8	-	-	8.3E-8	1.1E-3	5.6E-4
4	1.2E-7	1.6E-1	3.6E-8	1.2E-7	1.1E-3	5.5E-4
4.25	1.8E-7	-	-	1.8E-7	1.1E-3	5.4E-4
4.5	2.6E-7	-	-	2.6E-7	1.1E-3	5.3E-4
4.75	3.9E-7	-	-	3.9E-7	1.0E-3	5.3E-4
5	5.9E-7	2.4E-1	1.5E-7	5.9E-7	1.0E-3	5.2E-4
5.5	1.3E-6	-	-	1.3E-6	1.0E-3	5.1E-4
6	3.0E-6	3.3E-1	7.3E-7	3.1E-6	1.0E-3	5.0E-4
6.5	6.9E-6	-	-	7.1E-6	9.9E-4	5.0E-4
7	1.6E-5	4.1E-1	3.7E-6	1.7E-5	9.8E-4	4.9E-4
7.5	3.4E-5	-	-	4.0E-5	9.7E-4	4.9E-4
8	6.9E-5	4.7E-1	2.0E-5	9.6E-5	9.6E-4	4.8E-4
8.5	1.2E-4	-	-	2.3E-4	9.5E-4	4.8E-4
9	1.7E-4	5.2E-1	1.2E-4	5.6E-4	9.4E-4	4.7E-4
9.5	2.1E-4	-	-	1.3E-3	9.3E-4	4.7E-4
10	2.3E-4	5.7E-1	6.8E-4	3.1E-3	9.2E-4	4.7E-4
11	2.5E-4	6.1E-1	4.0E-3	1.4E-2	9.1E-4	4.6E-4
12	2.5E-4	6.5E-1	2.3E-2	3.6E-2	9.0E-4	4.6E-4
13	2.5E-4	6.9E-1	1.2E-1	5.0E-2	8.9E-4	4.5E-4
14	2.5E-4	7.3E-1	3.3E-1	5.6E-2	8.8E-4	4.5E-4
15	2.5E-4	7.7E-1	4.8E-1	6.1E-2	8.7E-4	4.4E-4
16	2.5E-4	8.1E-1	5.4E-1	6.4E-2	8.7E-4	4.4E-4
17	2.5E-4	8.5E-1	5.8E-1	6.8E-2	8.6E-4	4.4E-4
18	2.5E-4	8.9E-1	6.1E-1	7.2E-2	8.5E-4	4.3E-4
