Radionuclide	U-235
Route of Intake	Ingestion
Material	Soluble forms, fA=2E-2
AMTD/AMAD, µm	-

Committed Effective Dose per Predicted Content in an Organ or Excreta Sample (Dose per Content Functions z(t)), Sv/Bq
Time, days	Whole Body	Urine (24-hour sample)	Faeces (24-hour sample)	Alimentary Tract*	Skeleton*	Liver*
0.041667	3.2E-8	-	-	3.2E-8	2.5E-4	3.1E-4
0.083333	3.2E-8	-	-	3.2E-8	7.6E-5	1.5E-4
0.125	3.2E-8	-	-	3.2E-8	4.2E-5	1.1E-4
0.25	3.2E-8	-	-	3.2E-8	1.9E-5	9.6E-5
0.375	3.2E-8	-	-	3.3E-8	1.4E-5	9.6E-5
0.5	3.3E-8	-	-	3.3E-8	1.3E-5	9.8E-5
0.625	3.4E-8	-	-	3.5E-8	1.2E-5	1.0E-4
0.75	3.6E-8	-	-	3.6E-8	1.1E-5	1.0E-4
0.875	3.8E-8	-	-	3.9E-8	1.1E-5	1.0E-4
1	4.1E-8	2.5E-6	1.5E-7	4.1E-8	1.1E-5	1.1E-4
1.125	4.5E-8	-	-	4.5E-8	1.1E-5	1.1E-4
1.25	4.9E-8	-	-	5.0E-8	1.1E-5	1.1E-4
1.375	5.4E-8	-	-	5.5E-8	1.1E-5	1.1E-4
1.5	6.1E-8	-	-	6.2E-8	1.1E-5	1.1E-4
1.625	6.9E-8	-	-	7.0E-8	1.1E-5	1.1E-4
1.75	7.8E-8	-	-	7.9E-8	1.1E-5	1.1E-4
1.875	8.9E-8	-	-	9.0E-8	1.1E-5	1.1E-4
2	1.0E-7	4.5E-5	6.9E-8	1.0E-7	1.2E-5	1.2E-4
2.25	1.4E-7	-	-	1.4E-7	1.2E-5	1.2E-4
2.5	1.8E-7	-	-	1.9E-7	1.2E-5	1.2E-4
2.75	2.5E-7	-	-	2.7E-7	1.2E-5	1.2E-4
3	3.5E-7	8.6E-5	1.4E-7	3.8E-7	1.2E-5	1.3E-4
3.25	4.9E-7	-	-	5.4E-7	1.2E-5	1.3E-4
3.5	6.7E-7	-	-	7.7E-7	1.2E-5	1.3E-4
3.75	9.2E-7	-	-	1.1E-6	1.2E-5	1.3E-4
4	1.3E-6	9.6E-5	4.9E-7	1.6E-6	1.3E-5	1.4E-4
4.25	1.7E-6	-	-	2.4E-6	1.3E-5	1.4E-4
4.5	2.2E-6	-	-	3.5E-6	1.3E-5	1.4E-4
4.75	2.7E-6	-	-	5.3E-6	1.3E-5	1.4E-4
5	3.3E-6	1.1E-4	2.1E-6	7.9E-6	1.3E-5	1.5E-4
5.5	4.4E-6	-	-	1.8E-5	1.3E-5	1.5E-4
6	5.2E-6	1.2E-4	9.8E-6	4.0E-5	1.4E-5	1.6E-4
6.5	5.7E-6	-	-	8.9E-5	1.4E-5	1.7E-4
7	6.1E-6	1.3E-4	5.0E-5	1.9E-4	1.4E-5	1.7E-4
7.5	6.3E-6	-	-	3.7E-4	1.4E-5	1.8E-4
8	6.5E-6	1.4E-4	2.7E-4	6.2E-4	1.4E-5	1.9E-4
8.5	6.7E-6	-	-	8.7E-4	1.5E-5	1.9E-4
9	6.8E-6	1.5E-4	1.5E-3	1.1E-3	1.5E-5	2.0E-4
9.5	7.0E-6	-	-	1.2E-3	1.5E-5	2.1E-4
10	7.1E-6	1.7E-4	7.5E-3	1.2E-3	1.5E-5	2.1E-4
11	7.4E-6	1.8E-4	2.5E-2	1.3E-3	1.6E-5	2.3E-4
12	7.7E-6	2.0E-4	4.5E-2	1.4E-3	1.6E-5	2.5E-4
13	8.0E-6	2.1E-4	5.4E-2	1.4E-3	1.6E-5	2.7E-4
14	8.3E-6	2.3E-4	6.0E-2	1.5E-3	1.7E-5	2.8E-4
15	8.6E-6	2.5E-4	6.5E-2	1.5E-3	1.7E-5	3.0E-4
16	8.8E-6	2.7E-4	7.0E-2	1.6E-3	1.7E-5	3.2E-4
17	9.1E-6	2.9E-4	7.5E-2	1.6E-3	1.7E-5	3.4E-4
18	9.4E-6	3.1E-4	7.9E-2	1.6E-3	1.8E-5	3.6E-4
19	9.7E-6	3.3E-4	8.4E-2	1.7E-3	1.8E-5	3.9E-4
20	9.9E-6	3.6E-4	8.9E-2	1.7E-3	1.8E-5	4.1E-4
21	1.0E-5	3.8E-4	9.5E-2	1.8E-3	1.8E-5	4.3E-4
22	1.0E-5	4.1E-4	1.0E-1	1.8E-3	1.8E-5	4.6E-4
23	1.1E-5	4.4E-4	1.0E-1	1.9E-3	1.9E-5	4.8E-4
24	1.1E-5	4.6E-4	1.1E-1	2.0E-3	1.9E-5	5.0E-4
25	1.1E-5	4.9E-4	1.2E-1	2.0E-3	1.9E-5	5.3E-4
26	1.1E-5	5.2E-4	1.2E-1	2.1E-3	1.9E-5	5.5E-4
27	1.2E-5	5.6E-4	1.3E-1	2.1E-3	1.9E-5	5.8E-4
28	1.2E-5	5.9E-4	1.3E-1	2.2E-3	1.9E-5	6.0E-4
29	1.2E-5	6.2E-4	1.4E-1	2.2E-3	2.0E-5	6.3E-4
30	1.2E-5	6.6E-4	1.4E-1	2.3E-3	2.0E-5	6.5E-4
31	1.3E-5	6.9E-4	1.5E-1	2.4E-3	2.0E-5	6.7E-4
32	1.3E-5	7.3E-4	1.5E-1	2.4E-3	2.0E-5	7.0E-4
33	1.3E-5	7.7E-4	1.6E-1	2.5E-3	2.0E-5	7.2E-4
34	1.3E-5	8.1E-4	1.6E-1	2.6E-3	2.0E-5	7.4E-4
35	1.4E-5	8.5E-4	1.7E-1	2.6E-3	2.0E-5	7.6E-4
36	1.4E-5	8.9E-4	1.7E-1	2.7E-3	2.0E-5	7.8E-4
37	1.4E-5	9.3E-4	1.8E-1	2.8E-3	2.1E-5	8.0E-4
38	1.4E-5	9.7E-4	1.9E-1	2.9E-3	2.1E-5	8.2E-4
39	1.4E-5	1.0E-3	1.9E-1	2.9E-3	2.1E-5	8.4E-4
40	1.5E-5	1.1E-3	2.0E-1	3.0E-3	2.1E-5	8.6E-4
41	1.5E-5	1.1E-3	2.0E-1	3.1E-3	2.1E-5	8.7E-4
42	1.5E-5	1.1E-3	2.1E-1	3.2E-3	2.1E-5	8.9E-4
43	1.5E-5	1.2E-3	2.1E-1	3.2E-3	2.1E-5	9.1E-4
44	1.5E-5	1.2E-3	2.2E-1	3.3E-3	2.1E-5	9.2E-4
45	1.6E-5	1.3E-3	2.3E-1	3.4E-3	2.2E-5	9.3E-4
46	1.6E-5	1.3E-3	2.3E-1	3.5E-3	2.2E-5	9.5E-4
47	1.6E-5	1.4E-3	2.4E-1	3.6E-3	2.2E-5	9.6E-4
48	1.6E-5	1.4E-3	2.4E-1	3.7E-3	2.2E-5	9.7E-4
49	1.6E-5	1.5E-3	2.5E-1	3.8E-3	2.2E-5	9.8E-4
50	1.6E-5	1.5E-3	2.6E-1	3.9E-3	2.2E-5	9.9E-4
51	1.7E-5	1.5E-3	2.6E-1	3.9E-3	2.2E-5	1.0E-3
52	1.7E-5	1.6E-3	2.7E-1	4.0E-3	2.2E-5	1.0E-3
53	1.7E-5	1.6E-3	2.7E-1	4.1E-3	2.3E-5	1.0E-3
54	1.7E-5	1.7E-3	2.8E-1	4.2E-3	2.3E-5	1.0E-3
55	1.7E-5	1.7E-3	2.9E-1	4.3E-3	2.3E-5	1.0E-3
56	1.7E-5	1.8E-3	2.9E-1	4.4E-3	2.3E-5	1.0E-3
57	1.8E-5	1.8E-3	3.0E-1	4.5E-3	2.3E-5	1.1E-3
58	1.8E-5	1.9E-3	3.1E-1	4.7E-3	2.3E-5	1.1E-3
59	1.8E-5	1.9E-3	3.1E-1	4.8E-3	2.3E-5	1.1E-3
60	1.8E-5	2.0E-3	3.2E-1	4.9E-3	2.3E-5	1.1E-3
61	1.8E-5	2.0E-3	3.3E-1	5.0E-3	2.4E-5	1.1E-3
62	1.8E-5	2.1E-3	3.3E-1	5.1E-3	2.4E-5	1.1E-3
63	1.9E-5	2.1E-3	3.4E-1	5.2E-3	2.4E-5	1.1E-3
64	1.9E-5	2.2E-3	3.5E-1	5.3E-3	2.4E-5	1.1E-3
