radionuclide,route_of_intake,material,fA,amad_um,time_days,alimentary_tract,faeces_24h,liver,lungs,skeleton,urine_24h,whole_body
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,0.041667,3.2e-08,,0.00031,,0.00025,,3.2e-08
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,0.083333,3.2e-08,,0.00015,,7.6e-05,,3.2e-08
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,0.125,3.2e-08,,0.00011,,4.2e-05,,3.2e-08
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,0.25,3.2e-08,,9.6e-05,,1.9e-05,,3.2e-08
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,0.375,3.3e-08,,9.6e-05,,1.4e-05,,3.2e-08
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,0.5,3.3e-08,,9.8e-05,,1.3e-05,,3.3e-08
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,0.625,3.5e-08,,0.0001,,1.2e-05,,3.4e-08
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,0.75,3.6e-08,,0.0001,,1.1e-05,,3.6e-08
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,0.875,3.9e-08,,0.0001,,1.1e-05,,3.8e-08
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,1.0,4.1e-08,1.5e-07,0.00011,,1.1e-05,2.5e-06,4.1e-08
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,1.125,4.5e-08,,0.00011,,1.1e-05,,4.5e-08
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,1.25,5e-08,,0.00011,,1.1e-05,,4.9e-08
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,1.375,5.5e-08,,0.00011,,1.1e-05,,5.4e-08
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,1.5,6.2e-08,,0.00011,,1.1e-05,,6.1e-08
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,1.625,7e-08,,0.00011,,1.1e-05,,6.9e-08
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,1.75,7.9e-08,,0.00011,,1.1e-05,,7.8e-08
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,1.875,9e-08,,0.00011,,1.1e-05,,8.9e-08
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,2.0,1e-07,6.9e-08,0.00012,,1.2e-05,4.5e-05,1e-07
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,2.25,1.4e-07,,0.00012,,1.2e-05,,1.4e-07
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,2.5,1.9e-07,,0.00012,,1.2e-05,,1.8e-07
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,2.75,2.7e-07,,0.00012,,1.2e-05,,2.5e-07
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,3.0,3.8e-07,1.4e-07,0.00013,,1.2e-05,8.6e-05,3.5e-07
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,3.25,5.4e-07,,0.00013,,1.2e-05,,4.9e-07
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,3.5,7.7e-07,,0.00013,,1.2e-05,,6.7e-07
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,3.75,1.1e-06,,0.00013,,1.2e-05,,9.2e-07
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,4.0,1.6e-06,4.9e-07,0.00014,,1.3e-05,9.6e-05,1.3e-06
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,4.25,2.4e-06,,0.00014,,1.3e-05,,1.7e-06
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,4.5,3.5e-06,,0.00014,,1.3e-05,,2.2e-06
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,4.75,5.3e-06,,0.00014,,1.3e-05,,2.7e-06
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,5.0,7.9e-06,2.1e-06,0.00015,,1.3e-05,0.00011,3.3e-06
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,5.5,1.8e-05,,0.00015,,1.3e-05,,4.4e-06
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,6.0,4e-05,9.8e-06,0.00016,,1.4e-05,0.00012,5.2e-06
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,6.5,8.9e-05,,0.00017,,1.4e-05,,5.7e-06
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,7.0,0.00019,5e-05,0.00017,,1.4e-05,0.00013,6.1e-06
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,7.5,0.00037,,0.00018,,1.4e-05,,6.3e-06
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,8.0,0.00062,0.00027,0.00019,,1.4e-05,0.00014,6.5e-06
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,8.5,0.00087,,0.00019,,1.5e-05,,6.7e-06
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,9.0,0.0011,0.0015,0.0002,,1.5e-05,0.00015,6.8e-06
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,9.5,0.0012,,0.00021,,1.5e-05,,7e-06
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,10.0,0.0012,0.0075,0.00021,,1.5e-05,0.00017,7.1e-06
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,11.0,0.0013,0.025,0.00023,,1.6e-05,0.00018,7.4e-06
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,12.0,0.0014,0.045,0.00025,,1.6e-05,0.0002,7.7e-06
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,13.0,0.0014,0.054,0.00027,,1.6e-05,0.00021,8e-06
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,14.0,0.0015,0.06,0.00028,,1.7e-05,0.00023,8.3e-06
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,15.0,0.0015,0.065,0.0003,,1.7e-05,0.00025,8.6e-06
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,16.0,0.0016,0.07,0.00032,,1.7e-05,0.00027,8.8e-06
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,17.0,0.0016,0.075,0.00034,,1.7e-05,0.00029,9.1e-06
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,18.0,0.0016,0.079,0.00036,,1.8e-05,0.00031,9.4e-06
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,19.0,0.0017,0.084,0.00039,,1.8e-05,0.00033,9.7e-06
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,20.0,0.0017,0.089,0.00041,,1.8e-05,0.00036,9.9e-06
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,21.0,0.0018,0.095,0.00043,,1.8e-05,0.00038,1e-05
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,22.0,0.0018,0.1,0.00046,,1.8e-05,0.00041,1e-05
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,23.0,0.0019,0.1,0.00048,,1.9e-05,0.00044,1.1e-05
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,24.0,0.002,0.11,0.0005,,1.9e-05,0.00046,1.1e-05
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,25.0,0.002,0.12,0.00053,,1.9e-05,0.00049,1.1e-05
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,26.0,0.0021,0.12,0.00055,,1.9e-05,0.00052,1.1e-05
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,27.0,0.0021,0.13,0.00058,,1.9e-05,0.00056,1.2e-05
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,28.0,0.0022,0.13,0.0006,,1.9e-05,0.00059,1.2e-05
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,29.0,0.0022,0.14,0.00063,,2e-05,0.00062,1.2e-05
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,30.0,0.0023,0.14,0.00065,,2e-05,0.00066,1.2e-05
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,31.0,0.0024,0.15,0.00067,,2e-05,0.00069,1.3e-05
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,32.0,0.0024,0.15,0.0007,,2e-05,0.00073,1.3e-05
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,33.0,0.0025,0.16,0.00072,,2e-05,0.00077,1.3e-05
U-235,Ingestion,"Soluble forms, fA=2E-2",2E-2,,34.0,0.0026,0.16,0.00074,,2e-05,0.00081,1.3e-05
