Radionuclide	U-238
Route of Intake	Ingestion
Material	Soluble forms, fA=2E-2
AMTD/AMAD, µm	-

Committed Effective Dose per Predicted Content in an Organ or Excreta Sample (Dose per Content Functions z(t)), Sv/Bq
Time, days	Whole Body (Th-234)	Urine (24-hour sample)	Faeces (24-hour sample)	Alimentary Tract* (Th-234)	Skeleton* (Th-234)	Liver* (Th-234)
0.041667	2.6E-5	-	-	2.6E-5	4.7E-1	6.1E-1
0.083333	1.3E-5	-	-	1.3E-5	6.3E-2	1.2E-1
0.125	8.5E-6	-	-	8.6E-6	2.1E-2	5.6E-2
0.25	4.3E-6	-	-	4.3E-6	4.1E-3	1.9E-2
0.375	2.9E-6	-	-	2.9E-6	1.8E-3	1.1E-2
0.5	2.2E-6	-	-	2.2E-6	1.1E-3	8.2E-3
0.625	1.8E-6	-	-	1.9E-6	7.7E-4	6.4E-3
0.75	1.6E-6	-	-	1.6E-6	5.9E-4	5.2E-3
0.875	1.5E-6	-	-	1.5E-6	4.8E-4	4.4E-3
1	1.4E-6	2.4E-6	1.4E-7	1.4E-6	4.0E-4	3.8E-3
1.125	1.3E-6	-	-	1.4E-6	3.5E-4	3.4E-3
1.25	1.3E-6	-	-	1.3E-6	3.0E-4	3.0E-3
1.375	1.3E-6	-	-	1.4E-6	2.7E-4	2.7E-3
1.5	1.4E-6	-	-	1.4E-6	2.5E-4	2.5E-3
1.625	1.4E-6	-	-	1.5E-6	2.2E-4	2.3E-3
1.75	1.5E-6	-	-	1.5E-6	2.1E-4	2.1E-3
1.875	1.6E-6	-	-	1.7E-6	1.9E-4	2.0E-3
2	1.7E-6	4.3E-5	6.6E-8	1.8E-6	1.8E-4	1.8E-3
2.25	2.1E-6	-	-	2.1E-6	1.6E-4	1.6E-3
2.5	2.6E-6	-	-	2.7E-6	1.4E-4	1.5E-3
2.75	3.2E-6	-	-	3.4E-6	1.3E-4	1.3E-3
3	4.1E-6	8.3E-5	1.4E-7	4.4E-6	1.2E-4	1.2E-3
3.25	5.2E-6	-	-	5.8E-6	1.1E-4	1.1E-3
3.5	6.7E-6	-	-	7.7E-6	1.0E-4	1.1E-3
3.75	8.6E-6	-	-	1.0E-5	9.4E-5	1.0E-3
4	1.1E-5	9.2E-5	4.7E-7	1.4E-5	8.8E-5	9.4E-4
4.25	1.4E-5	-	-	2.0E-5	8.3E-5	8.9E-4
4.5	1.7E-5	-	-	2.8E-5	7.9E-5	8.5E-4
4.75	2.0E-5	-	-	4.0E-5	7.5E-5	8.1E-4
5	2.3E-5	1.0E-4	2.0E-6	5.6E-5	7.1E-5	7.8E-4
5.5	2.7E-5	-	-	1.2E-4	6.5E-5	7.2E-4
6	2.9E-5	1.1E-4	9.4E-6	2.4E-4	6.0E-5	6.7E-4
6.5	2.9E-5	-	-	5.1E-4	5.6E-5	6.3E-4
7	2.9E-5	1.2E-4	4.9E-5	1.0E-3	5.3E-5	6.0E-4
7.5	2.8E-5	-	-	2.0E-3	5.0E-5	5.7E-4
8	2.7E-5	1.3E-4	2.6E-4	3.4E-3	4.7E-5	5.4E-4
8.5	2.6E-5	-	-	4.9E-3	4.5E-5	5.2E-4
9	2.5E-5	1.5E-4	1.4E-3	6.0E-3	4.3E-5	5.0E-4
9.5	2.4E-5	-	-	6.7E-3	4.1E-5	4.9E-4
10	2.3E-5	1.6E-4	7.3E-3	7.1E-3	3.9E-5	4.7E-4
