radionuclide,route_of_intake,material,fA,amad_um,time_days,whole_body,urine_24h,faeces_24h,alimentary_tract,lungs,skeleton,liver
U-238,Ingestion,"Soluble forms, fA=2E-2",2E-2,,0.041667,2.6e-05,,,2.6e-05,,0.47,0.61
U-238,Ingestion,"Soluble forms, fA=2E-2",2E-2,,0.083333,1.3e-05,,,1.3e-05,,0.063,0.12
U-238,Ingestion,"Soluble forms, fA=2E-2",2E-2,,0.125,8.5e-06,,,8.6e-06,,0.021,0.056
U-238,Ingestion,"Soluble forms, fA=2E-2",2E-2,,0.25,4.3e-06,,,4.3e-06,,0.0041,0.019
U-238,Ingestion,"Soluble forms, fA=2E-2",2E-2,,0.375,2.9e-06,,,2.9e-06,,0.0018,0.011
U-238,Ingestion,"Soluble forms, fA=2E-2",2E-2,,0.5,2.2e-06,,,2.2e-06,,0.0011,0.0082
U-238,Ingestion,"Soluble forms, fA=2E-2",2E-2,,0.625,1.8e-06,,,1.9e-06,,0.00077,0.0064
U-238,Ingestion,"Soluble forms, fA=2E-2",2E-2,,0.75,1.6e-06,,,1.6e-06,,0.00059,0.0052
U-238,Ingestion,"Soluble forms, fA=2E-2",2E-2,,0.875,1.5e-06,,,1.5e-06,,0.00048,0.0044
U-238,Ingestion,"Soluble forms, fA=2E-2",2E-2,,1.0,1.4e-06,2.4e-06,1.4e-07,1.4e-06,,0.0004,0.0038
U-238,Ingestion,"Soluble forms, fA=2E-2",2E-2,,1.125,1.3e-06,,,1.4e-06,,0.00035,0.0034
U-238,Ingestion,"Soluble forms, fA=2E-2",2E-2,,1.25,1.3e-06,,,1.3e-06,,0.0003,0.003
U-238,Ingestion,"Soluble forms, fA=2E-2",2E-2,,1.375,1.3e-06,,,1.4e-06,,0.00027,0.0027
U-238,Ingestion,"Soluble forms, fA=2E-2",2E-2,,1.5,1.4e-06,,,1.4e-06,,0.00025,0.0025
U-238,Ingestion,"Soluble forms, fA=2E-2",2E-2,,1.625,1.4e-06,,,1.5e-06,,0.00022,0.0023
U-238,Ingestion,"Soluble forms, fA=2E-2",2E-2,,1.75,1.5e-06,,,1.5e-06,,0.00021,0.0021
U-238,Ingestion,"Soluble forms, fA=2E-2",2E-2,,1.875,1.6e-06,,,1.7e-06,,0.00019,0.002
U-238,Ingestion,"Soluble forms, fA=2E-2",2E-2,,2.0,1.7e-06,4.3e-05,6.6e-08,1.8e-06,,0.00018,0.0018
U-238,Ingestion,"Soluble forms, fA=2E-2",2E-2,,2.25,2.1e-06,,,2.1e-06,,0.00016,0.0016
U-238,Ingestion,"Soluble forms, fA=2E-2",2E-2,,2.5,2.6e-06,,,2.7e-06,,0.00014,0.0015
U-238,Ingestion,"Soluble forms, fA=2E-2",2E-2,,2.75,3.2e-06,,,3.4e-06,,0.00013,0.0013
U-238,Ingestion,"Soluble forms, fA=2E-2",2E-2,,3.0,4.1e-06,8.3e-05,1.4e-07,4.4e-06,,0.00012,0.0012
U-238,Ingestion,"Soluble forms, fA=2E-2",2E-2,,3.25,5.2e-06,,,5.8e-06,,0.00011,0.0011
U-238,Ingestion,"Soluble forms, fA=2E-2",2E-2,,3.5,6.7e-06,,,7.7e-06,,0.0001,0.0011
U-238,Ingestion,"Soluble forms, fA=2E-2",2E-2,,3.75,8.6e-06,,,1e-05,,9.4e-05,0.001
U-238,Ingestion,"Soluble forms, fA=2E-2",2E-2,,4.0,1.1e-05,9.2e-05,4.7e-07,1.4e-05,,8.8e-05,0.00094
U-238,Ingestion,"Soluble forms, fA=2E-2",2E-2,,4.25,1.4e-05,,,2e-05,,8.3e-05,0.00089
U-238,Ingestion,"Soluble forms, fA=2E-2",2E-2,,4.5,1.7e-05,,,2.8e-05,,7.9e-05,0.00085
U-238,Ingestion,"Soluble forms, fA=2E-2",2E-2,,4.75,2e-05,,,4e-05,,7.5e-05,0.00081
U-238,Ingestion,"Soluble forms, fA=2E-2",2E-2,,5.0,2.3e-05,0.0001,2e-06,5.6e-05,,7.1e-05,0.00078
U-238,Ingestion,"Soluble forms, fA=2E-2",2E-2,,5.5,2.7e-05,,,0.00012,,6.5e-05,0.00072
U-238,Ingestion,"Soluble forms, fA=2E-2",2E-2,,6.0,2.9e-05,0.00011,9.4e-06,0.00024,,6e-05,0.00067
U-238,Ingestion,"Soluble forms, fA=2E-2",2E-2,,6.5,2.9e-05,,,0.00051,,5.6e-05,0.00063
U-238,Ingestion,"Soluble forms, fA=2E-2",2E-2,,7.0,2.9e-05,0.00012,4.9e-05,0.001,,5.3e-05,0.0006
U-238,Ingestion,"Soluble forms, fA=2E-2",2E-2,,7.5,2.8e-05,,,0.002,,5e-05,0.00057
U-238,Ingestion,"Soluble forms, fA=2E-2",2E-2,,8.0,2.7e-05,0.00013,0.00026,0.0034,,4.7e-05,0.00054
U-238,Ingestion,"Soluble forms, fA=2E-2",2E-2,,8.5,2.6e-05,,,0.0049,,4.5e-05,0.00052
U-238,Ingestion,"Soluble forms, fA=2E-2",2E-2,,9.0,2.5e-05,0.00015,0.0014,0.006,,4.3e-05,0.0005
U-238,Ingestion,"Soluble forms, fA=2E-2",2E-2,,9.5,2.4e-05,,,0.0067,,4.1e-05,0.00049
U-238,Ingestion,"Soluble forms, fA=2E-2",2E-2,,10.0,2.3e-05,0.00016,0.0073,0.0071,,3.9e-05,0.00047
U-238,Ingestion,"Soluble forms, fA=2E-2",2E-2,,11.0,2.2e-05,0.00017,0.024,0.0073,,3.7e-05,0.00045
U-238,Ingestion,"Soluble forms, fA=2E-2",2E-2,,12.0,2.1e-05,0.00019,0.043,0.0074,,3.4e-05,0.00043
U-238,Ingestion,"Soluble forms, fA=2E-2",2E-2,,13.0,2e-05,0.0002,0.052,0.0074,,3.3e-05,0.00041
U-238,Ingestion,"Soluble forms, fA=2E-2",2E-2,,14.0,2e-05,0.00022,0.058,0.0074,,3.1e-05,0.0004
U-238,Ingestion,"Soluble forms, fA=2E-2",2E-2,,15.0,1.9e-05,0.00024,0.063,0.0074,,3e-05,0.00038
U-238,Ingestion,"Soluble forms, fA=2E-2",2E-2,,16.0,1.9e-05,0.00026,0.067,0.0075,,2.8e-05,0.00038
U-238,Ingestion,"Soluble forms, fA=2E-2",2E-2,,17.0,1.8e-05,0.00028,0.072,0.0075,,2.7e-05,0.00037
U-238,Ingestion,"Soluble forms, fA=2E-2",2E-2,,18.0,1.8e-05,0.0003,0.076,0.0076,,2.6e-05,0.00036
U-238,Ingestion,"Soluble forms, fA=2E-2",2E-2,,19.0,1.8e-05,0.00032,0.081,0.0077,,2.6e-05,0.00036
U-238,Ingestion,"Soluble forms, fA=2E-2",2E-2,,20.0,1.7e-05,0.00034,0.086,0.0077,,2.5e-05,0.00035
U-238,Ingestion,"Soluble forms, fA=2E-2",2E-2,,21.0,1.7e-05,0.00037,0.091,0.0078,,2.4e-05,0.00035
U-238,Ingestion,"Soluble forms, fA=2E-2",2E-2,,22.0,1.7e-05,0.00039,0.096,0.0079,,2.4e-05,0.00035
U-238,Ingestion,"Soluble forms, fA=2E-2",2E-2,,23.0,1.7e-05,0.00042,0.1,0.008,,2.3e-05,0.00034
U-238,Ingestion,"Soluble forms, fA=2E-2",2E-2,,24.0,1.7e-05,0.00045,0.11,0.0081,,2.3e-05,0.00034
U-238,Ingestion,"Soluble forms, fA=2E-2",2E-2,,25.0,1.6e-05,0.00048,0.11,0.0081,,2.2e-05,0.00034
U-238,Ingestion,"Soluble forms, fA=2E-2",2E-2,,26.0,1.6e-05,0.00051,0.12,0.0082,,2.2e-05,0.00034
U-238,Ingestion,"Soluble forms, fA=2E-2",2E-2,,27.0,1.6e-05,0.00054,0.12,0.0083,,2.2e-05,0.00034
U-238,Ingestion,"Soluble forms, fA=2E-2",2E-2,,28.0,1.6e-05,0.00057,0.13,0.0084,,2.1e-05,0.00034
U-238,Ingestion,"Soluble forms, fA=2E-2",2E-2,,29.0,1.6e-05,0.0006,0.13,0.0085,,2.1e-05,0.00034
U-238,Ingestion,"Soluble forms, fA=2E-2",2E-2,,30.0,1.6e-05,0.00063,0.14,0.0086,,2.1e-05,0.00034
U-238,Ingestion,"Soluble forms, fA=2E-2",2E-2,,31.0,1.6e-05,0.00067,0.14,0.0088,,2.1e-05,0.00034
U-238,Ingestion,"Soluble forms, fA=2E-2",2E-2,,32.0,1.6e-05,0.0007,0.15,0.0089,,2e-05,0.00035
U-238,Ingestion,"Soluble forms, fA=2E-2",2E-2,,33.0,1.6e-05,0.00074,0.15,0.009,,2e-05,0.00035
U-238,Ingestion,"Soluble forms, fA=2E-2",2E-2,,34.0,1.6e-05,0.00078,0.16,0.0091,,2e-05,0.00035
U-238,Ingestion,"Soluble forms, fA=2E-2",2E-2,,35.0,1.6e-05,0.00081,0.16,0.0092,,2e-05,0.00035
U-238,Ingestion,"Soluble forms, fA=2E-2",2E-2,,36.0,1.6e-05,0.00085,0.17,0.0093,,2e-05,0.00035
U-238,Ingestion,"Soluble forms, fA=2E-2",2E-2,,37.0,1.6e-05,0.00089,0.17,0.0095,,1.9e-05,0.00036
U-238,Ingestion,"Soluble forms, fA=2E-2",2E-2,,38.0,1.6e-05,0.00093,0.18,0.0096,,1.9e-05,0.00036
U-238,Ingestion,"Soluble forms, fA=2E-2",2E-2,,39.0,1.6e-05,0.00097,0.18,0.0097,,1.9e-05,0.00036
U-238,Ingestion,"Soluble forms, fA=2E-2",2E-2,,40.0,1.6e-05,0.001,0.19,0.0099,,1.9e-05,0.00036
U-238,Ingestion,"Soluble forms, fA=2E-2",2E-2,,41.0,1.6e-05,0.0011,0.2,0.01,,1.9e-05,0.00037
U-238,Ingestion,"Soluble forms, fA=2E-2",2E-2,,42.0,1.6e-05,0.0011,0.2,0.01,,1.9e-05,0.00037
U-238,Ingestion,"Soluble forms, fA=2E-2",2E-2,,43.0,1.6e-05,0.0011,0.21,0.01,,1.9e-05,0.00037
U-238,Ingestion,"Soluble forms, fA=2E-2",2E-2,,44.0,1.6e-05,0.0012,0.21,0.01,,1.9e-05,0.00038
U-238,Ingestion,"Soluble forms, fA=2E-2",2E-2,,45.0,1.6e-05,0.0012,0.22,0.011,,1.9e-05,0.00038
U-238,Ingestion,"Soluble forms, fA=2E-2",2E-2,,46.0,1.6e-05,0.0013,0.22,0.011,,1.9e-05,0.00038
U-238,Ingestion,"Soluble forms, fA=2E-2",2E-2,,47.0,1.6e-05,0.0013,0.23,0.011,,1.9e-05,0.00039
U-238,Ingestion,"Soluble forms, fA=2E-2",2E-2,,48.0,1.6e-05,0.0014,0.23,0.011,,1.9e-05,0.00039
U-238,Ingestion,"Soluble forms, fA=2E-2",2E-2,,49.0,1.6e-05,0.0014,0.24,0.011,,1.9e-05,0.0004
U-238,Ingestion,"Soluble forms, fA=2E-2",2E-2,,50.0,1.6e-05,0.0014,0.25,0.011,,1.9e-05,0.0004
U-238,Ingestion,"Soluble forms, fA=2E-2",2E-2,,51.0,1.6e-05,0.0015,0.25,0.012,,1.9e-05,0.0004
